model-1640209981,1640209984.933,0.89,0.0781,0.76,0.1883
model-1640209981,1640209984.946,0.92,0.0705,0.68,0.2256
model-1640209981,1640209984.961,0.95,0.0391,0.78,0.1928
model-1640209981,1640209984.975,0.93,0.0518,0.85,0.1339
model-1640209981,1640209984.988,0.89,0.081,0.75,0.1972
model-1640209981,1640209984.998,0.98,0.0106,0.68,0.2633
model-1640209981,1640209985.013,0.99,0.0136,0.8,0.1517
model-1640209981,1640209985.028,0.92,0.0576,0.83,0.135
model-1640209981,1640209985.041,0.98,0.0205,0.77,0.1762
model-1640209981,1640209985.055,0.93,0.0618,0.69,0.2282
model-1640209981,1640209985.07,0.94,0.0584,0.78,0.1703
model-1640209981,1640209985.084,0.94,0.0532,0.76,0.1837
model-1640209981,1640209985.098,0.92,0.0754,0.79,0.1744
model-1640209981,1640209985.112,0.98,0.0238,0.78,0.1851
model-1640209981,1640209985.126,0.93,0.0572,0.79,0.1909
model-1640209981,1640209985.141,0.93,0.0449,0.73,0.21
model-1640209981,1640209985.154,0.91,0.0724,0.76,0.1732
model-1640209981,1640209985.169,0.92,0.0628,0.8,0.1617
model-1640209981,1640209985.182,0.94,0.0599,0.78,0.1842
model-1640209981,1640209985.195,0.9,0.0831,0.74,0.206
model-1640209981,1640209985.21,0.9,0.0811,0.76,0.1842
model-1640209981,1640209985.224,0.96,0.0329,0.72,0.2208
model-1640209981,1640209985.239,0.97,0.0324,0.77,0.197
model-1640209981,1640209985.252,0.94,0.0471,0.8,0.1731
model-1640209981,1640209985.266,0.91,0.072,0.74,0.208
model-1640209981,1640209985.28,0.91,0.0702,0.82,0.1541
model-1640209981,1640209985.294,0.94,0.0577,0.72,0.1983
model-1640209981,1640209985.308,0.97,0.03,0.76,0.1785
model-1640209981,1640209985.322,0.92,0.0644,0.79,0.1658
model-1640209981,1640209985.336,0.94,0.0396,0.76,0.198
model-1640209981,1640209985.351,0.9,0.0885,0.75,0.1989
model-1640209981,1640209985.365,0.91,0.0662,0.77,0.1725
model-1640209981,1640209985.378,0.93,0.0608,0.72,0.2334
model-1640209981,1640209985.391,0.92,0.0747,0.75,0.1626
model-1640209981,1640209985.404,0.89,0.0759,0.76,0.183
model-1640209981,1640209985.417,0.84,0.1143,0.69,0.2255
model-1640209981,1640209985.43,0.91,0.0733,0.72,0.209
model-1640209981,1640209985.443,0.96,0.043,0.83,0.1346
model-1640209981,1640209985.457,0.89,0.0869,0.73,0.2003
model-1640209981,1640209985.47,0.89,0.0859,0.68,0.251
model-1640209981,1640209985.483,0.91,0.0852,0.73,0.194
model-1640209981,1640209985.496,0.97,0.0334,0.76,0.2078
model-1640209981,1640209985.509,0.91,0.0699,0.78,0.1764
model-1640209981,1640209985.522,0.91,0.057,0.74,0.1957
model-1640209981,1640209985.535,0.94,0.0449,0.7,0.2401
model-1640209981,1640209985.548,0.89,0.0873,0.79,0.1778
model-1640209981,1640209985.562,0.91,0.0624,0.7,0.2299
model-1640209981,1640209985.575,0.91,0.0741,0.82,0.1619
model-1640209981,1640209985.589,0.85,0.1088,0.73,0.1941
model-1640209981,1640209985.605,0.87,0.1046,0.75,0.1683
model-1640209981,1640209985.619,0.88,0.0781,0.78,0.1749
model-1640209981,1640209985.632,0.96,0.0427,0.71,0.2259
model-1640209981,1640209985.645,0.96,0.0347,0.77,0.1766
model-1640209981,1640209985.657,0.88,0.0901,0.74,0.1804
model-1640209981,1640209985.67,0.94,0.0562,0.81,0.1521
model-1640209981,1640209985.683,0.9,0.073,0.78,0.168
model-1640209981,1640209985.696,0.92,0.0792,0.77,0.1944
model-1640209981,1640209985.709,0.9,0.0736,0.79,0.1556
model-1640209981,1640209985.722,0.86,0.1068,0.72,0.2122
model-1640209981,1640209985.735,0.91,0.0618,0.79,0.1774
model-1640209981,1640209985.748,0.92,0.0684,0.78,0.1734
model-1640209981,1640209985.761,0.9,0.0691,0.8,0.1744
model-1640209981,1640209985.774,0.86,0.0923,0.73,0.2308
